,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hour_time
48,49,2011-01-03,springer,0,1,1,0,1,1,Clear,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Afternoon
49,50,2011-01-03,springer,0,1,4,0,1,1,Clear,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Afternoon
50,51,2011-01-03,springer,0,1,5,0,1,1,Clear,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Morning
51,52,2011-01-03,springer,0,1,6,0,1,1,Clear,5.74,5.305,50.0,26.0027,0,30,30,Morning
52,53,2011-01-03,springer,0,1,7,0,1,1,Clear,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Morning
53,54,2011-01-03,springer,0,1,8,0,1,1,Clear,5.74,6.0600000000000005,50.0,19.0012,1,153,154,Morning
54,55,2011-01-03,springer,0,1,9,0,1,1,Clear,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Morning
55,56,2011-01-03,springer,0,1,10,0,1,1,Clear,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Morning
56,57,2011-01-03,springer,0,1,11,0,1,1,Clear,8.200000000000001,9.09,40.0,22.0028,10,41,51,Morning
57,58,2011-01-03,springer,0,1,12,0,1,1,Clear,9.02,10.605,35.0,19.999499999999998,13,48,61,Morning
58,59,2011-01-03,springer,0,1,13,0,1,1,Clear,9.84,10.605,35.0,19.0012,8,53,61,Afternoon
59,60,2011-01-03,springer,0,1,14,0,1,1,Clear,10.66,12.120000000000001,30.0,19.0012,11,66,77,Afternoon
60,61,2011-01-03,springer,0,1,15,0,1,1,Clear,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Afternoon
61,62,2011-01-03,springer,0,1,16,0,1,1,Clear,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Afternoon
62,63,2011-01-03,springer,0,1,17,0,1,1,Clear,9.84,11.365,30.0,15.001299999999999,11,146,157,Evening
63,64,2011-01-03,springer,0,1,18,0,1,1,Clear,9.84,12.879999999999999,32.0,7.0015,9,148,157,Evening
64,65,2011-01-03,springer,0,1,19,0,1,1,Clear,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,Evening
65,66,2011-01-03,springer,0,1,20,0,1,1,Clear,8.200000000000001,11.365,47.0,7.0015,3,49,52,Evening
66,67,2011-01-03,springer,0,1,21,0,1,1,Clear,7.38,9.85,64.0,8.9981,3,49,52,Evening
67,68,2011-01-03,springer,0,1,22,0,1,1,Clear,5.74,7.575,69.0,8.9981,0,20,20,Night
68,69,2011-01-03,springer,0,1,23,0,1,1,Clear,7.38,10.605,55.00000000000001,7.0015,1,11,12,Night
69,70,2011-01-04,springer,0,1,0,0,2,1,Clear,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Afternoon
70,71,2011-01-04,springer,0,1,1,0,2,1,Clear,6.5600000000000005,9.09,59.0,7.0015,0,2,2,Afternoon
71,72,2011-01-04,springer,0,1,2,0,2,1,Clear,5.74,7.575,63.0,8.9981,0,1,1,Afternoon
72,73,2011-01-04,springer,0,1,4,0,2,1,Clear,5.74,9.09,63.0,6.0032,0,2,2,Afternoon
73,74,2011-01-04,springer,0,1,5,0,2,1,Clear,4.92,7.575,68.0,7.0015,0,4,4,Morning
74,75,2011-01-04,springer,0,1,6,0,2,1,Clear,4.92,7.575,74.0,7.0015,0,36,36,Morning
75,76,2011-01-04,springer,0,1,7,0,2,1,Clear,4.92,7.575,74.0,8.9981,2,92,94,Morning
76,77,2011-01-04,springer,0,1,8,0,2,1,Clear,5.74,7.575,69.0,11.0014,2,177,179,Morning
77,78,2011-01-04,springer,0,1,9,0,2,1,Clear,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Morning
78,79,2011-01-04,springer,0,1,10,0,2,1,Mist,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Morning
79,80,2011-01-04,springer,0,1,11,0,2,1,Clear,9.02,10.605,51.0,19.999499999999998,7,50,57,Morning
80,81,2011-01-04,springer,0,1,12,0,2,1,Clear,9.02,11.365,51.0,11.0014,12,66,78,Morning
81,82,2011-01-04,springer,0,1,13,0,2,1,Clear,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Afternoon
82,83,2011-01-04,springer,0,1,14,0,2,1,Clear,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Afternoon
83,84,2011-01-04,springer,0,1,15,0,2,1,Clear,11.48,13.635,52.0,16.997899999999998,17,48,65,Afternoon
84,85,2011-01-04,springer,0,1,16,0,2,1,Clear,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Afternoon
85,86,2011-01-04,springer,0,1,17,0,2,1,Clear,11.48,13.635,48.0,15.001299999999999,10,202,212,Evening
86,87,2011-01-04,springer,0,1,18,0,2,1,Clear,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Evening
87,88,2011-01-04,springer,0,1,19,0,2,1,Clear,9.84,12.879999999999999,48.0,7.0015,2,110,112,Evening
88,89,2011-01-04,springer,0,1,20,0,2,1,Clear,9.84,12.879999999999999,48.0,7.0015,1,53,54,Evening
89,90,2011-01-04,springer,0,1,21,0,2,1,Clear,9.02,13.635,64.0,0.0,0,48,48,Evening
90,91,2011-01-04,springer,0,1,22,0,2,1,Clear,9.02,12.879999999999999,64.0,6.0032,1,34,35,Night
91,92,2011-01-04,springer,0,1,23,0,2,1,Clear,8.200000000000001,11.365,69.0,6.0032,2,9,11,Night
92,93,2011-01-05,springer,0,1,0,0,3,1,Clear,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,Afternoon
93,94,2011-01-05,springer,0,1,1,0,3,1,Clear,6.5600000000000005,9.85,74.0,6.0032,0,6,6,Afternoon
94,95,2011-01-05,springer,0,1,2,0,3,1,Clear,6.5600000000000005,9.85,74.0,6.0032,0,2,2,Afternoon
95,96,2011-01-05,springer,0,1,4,0,3,1,Clear,9.84,11.365,48.0,15.001299999999999,0,2,2,Afternoon
96,97,2011-01-05,springer,0,1,5,0,3,1,Clear,9.02,11.365,47.0,11.0014,0,3,3,Morning
97,98,2011-01-05,springer,0,1,6,0,3,1,Clear,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Morning
98,99,2011-01-05,springer,0,1,7,0,3,1,Clear,7.38,9.09,43.0,12.998000000000001,1,87,88,Morning
99,100,2011-01-05,springer,0,1,8,0,3,1,Clear,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Morning
100,101,2011-01-05,springer,0,1,9,0,3,1,Clear,9.02,9.85,37.0,22.0028,6,109,115,Morning
101,102,2011-01-05,springer,0,1,10,0,3,1,Clear,9.02,9.85,37.0,22.0028,4,53,57,Morning
102,103,2011-01-05,springer,0,1,11,0,3,1,Clear,10.66,11.365,33.0,22.0028,12,34,46,Morning
103,104,2011-01-05,springer,0,1,12,0,3,1,Clear,10.66,11.365,33.0,22.0028,5,74,79,Morning
104,105,2011-01-05,springer,0,1,13,0,3,1,Clear,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Afternoon
105,106,2011-01-05,springer,0,1,14,0,3,1,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Afternoon
106,107,2011-01-05,springer,0,1,15,0,3,1,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Afternoon
107,108,2011-01-05,springer,0,1,16,0,3,1,Clear,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,Afternoon
108,109,2011-01-05,springer,0,1,17,0,3,1,Clear,9.84,11.365,38.0,12.998000000000001,4,186,190,Evening
109,110,2011-01-05,springer,0,1,18,0,3,1,Clear,9.84,12.120000000000001,38.0,8.9981,3,166,169,Evening
110,111,2011-01-05,springer,0,1,19,0,3,1,Clear,9.84,12.879999999999999,38.0,7.0015,5,127,132,Evening
111,112,2011-01-05,springer,0,1,20,0,3,1,Clear,9.02,11.365,47.0,11.0014,7,82,89,Evening
112,113,2011-01-05,springer,0,1,21,0,3,1,Clear,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,Evening
113,114,2011-01-05,springer,0,1,22,0,3,1,Clear,7.38,9.85,55.00000000000001,8.9981,1,41,42,Night
114,115,2011-01-05,springer,0,1,23,0,3,1,Clear,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,Night
115,116,2011-01-06,springer,0,1,0,0,4,1,Clear,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,Afternoon
116,117,2011-01-06,springer,0,1,1,0,4,1,Clear,6.5600000000000005,11.365,64.0,0.0,0,4,4,Afternoon
117,118,2011-01-06,springer,0,1,2,0,4,1,Clear,6.5600000000000005,11.365,64.0,0.0,0,2,2,Afternoon
118,119,2011-01-06,springer,0,1,4,0,4,1,Mist,6.5600000000000005,9.85,64.0,6.0032,0,1,1,Afternoon
119,120,2011-01-06,springer,0,1,5,0,4,1,Mist,5.74,9.09,69.0,6.0032,0,4,4,Morning
120,121,2011-01-06,springer,0,1,6,0,4,1,Mist,5.74,8.334999999999999,63.0,7.0015,0,36,36,Morning
121,122,2011-01-06,springer,0,1,7,0,4,1,Mist,6.5600000000000005,11.365,59.0,0.0,0,95,95,Morning
122,123,2011-01-06,springer,0,1,8,0,4,1,Clear,6.5600000000000005,11.365,59.0,0.0,3,216,219,Morning
123,124,2011-01-06,springer,0,1,9,0,4,1,Mist,7.38,12.120000000000001,51.0,0.0,6,116,122,Morning
124,125,2011-01-06,springer,0,1,10,0,4,1,Clear,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,Morning
125,126,2011-01-06,springer,0,1,11,0,4,1,Clear,9.02,12.879999999999999,44.0,6.0032,2,57,59,Morning
126,127,2011-01-06,springer,0,1,12,0,4,1,Clear,10.66,14.395,35.0,0.0,6,78,84,Morning
127,128,2011-01-06,springer,0,1,13,0,4,1,Clear,10.66,13.635,35.0,7.0015,12,55,67,Afternoon
128,129,2011-01-06,springer,0,1,14,0,4,1,Clear,11.48,13.635,36.0,11.0014,11,59,70,Afternoon
129,130,2011-01-06,springer,0,1,15,0,4,1,Clear,11.48,13.635,36.0,0.0,8,54,62,Afternoon
130,131,2011-01-06,springer,0,1,16,0,4,1,Clear,10.66,12.879999999999999,38.0,11.0014,12,74,86,Afternoon
131,132,2011-01-06,springer,0,1,17,0,4,1,Clear,9.02,11.365,51.0,11.0014,9,163,172,Evening
132,133,2011-01-06,springer,0,1,18,0,4,1,Clear,9.02,11.365,51.0,8.9981,5,158,163,Evening
133,134,2011-01-06,springer,0,1,19,0,4,1,Clear,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,Evening
134,135,2011-01-06,springer,0,1,20,0,4,1,Clear,8.200000000000001,10.605,51.0,11.0014,3,66,69,Evening
135,136,2011-01-06,springer,0,1,21,0,4,1,Mist,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,Evening
136,137,2011-01-06,springer,0,1,22,0,4,1,Mist,9.02,10.605,51.0,19.0012,1,51,52,Night
137,138,2011-01-06,springer,0,1,23,0,4,1,Mist,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,Night
138,139,2011-01-07,springer,0,1,0,0,5,1,Mist,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,Afternoon
139,140,2011-01-07,springer,0,1,1,0,5,1,Mist,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,Afternoon
140,141,2011-01-07,springer,0,1,2,0,5,1,Mist,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,Afternoon
141,142,2011-01-07,springer,0,1,4,0,5,1,Mist,8.200000000000001,10.605,69.0,8.9981,0,1,1,Afternoon
142,143,2011-01-07,springer,0,1,5,0,5,1,Light Snow,9.02,13.635,55.00000000000001,0.0,0,5,5,Morning
143,144,2011-01-07,springer,0,1,6,0,5,1,Mist,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,Morning
144,145,2011-01-07,springer,0,1,7,0,5,1,Clear,8.200000000000001,10.605,69.0,8.9981,8,76,84,Morning
145,146,2011-01-07,springer,0,1,8,0,5,1,Clear,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,Morning
146,147,2011-01-07,springer,0,1,9,0,5,1,Clear,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,Morning
147,148,2011-01-07,springer,0,1,10,0,5,1,Clear,9.02,9.85,37.0,22.0028,16,47,63,Morning
148,149,2011-01-07,springer,0,1,11,0,5,1,Mist,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,Morning
149,150,2011-01-07,springer,0,1,12,0,5,1,Mist,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,Morning
150,151,2011-01-07,springer,0,1,13,0,5,1,Mist,8.200000000000001,9.09,37.0,19.0012,9,64,73,Afternoon
151,152,2011-01-07,springer,0,1,14,0,5,1,Mist,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,Afternoon
152,153,2011-01-07,springer,0,1,15,0,5,1,Mist,8.200000000000001,10.605,37.0,11.0014,9,63,72,Afternoon
153,154,2011-01-07,springer,0,1,16,0,5,1,Mist,8.200000000000001,10.605,37.0,11.0014,5,82,87,Afternoon
154,155,2011-01-07,springer,0,1,17,0,5,1,Mist,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,Evening
155,156,2011-01-07,springer,0,1,18,0,5,1,Clear,8.200000000000001,11.365,40.0,6.0032,7,116,123,Evening
156,157,2011-01-07,springer,0,1,19,0,5,1,Clear,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,Evening
157,158,2011-01-07,springer,0,1,20,0,5,1,Clear,7.38,10.605,47.0,7.0015,1,50,51,Evening
158,159,2011-01-07,springer,0,1,21,0,5,1,Clear,7.38,9.85,47.0,8.9981,0,39,39,Evening
159,160,2011-01-07,springer,0,1,22,0,5,1,Mist,7.38,9.85,43.0,11.0014,2,34,36,Night
160,161,2011-01-07,springer,0,1,23,0,5,1,Mist,7.38,9.85,51.0,11.0014,1,14,15,Night
161,162,2011-01-08,springer,0,1,0,0,6,0,Mist,7.38,9.85,51.0,11.0014,1,24,25,Afternoon
162,163,2011-01-08,springer,0,1,1,0,6,0,Mist,7.38,10.605,55.00000000000001,6.0032,1,15,16,Afternoon
163,164,2011-01-08,springer,0,1,2,0,6,0,Mist,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,Afternoon
164,165,2011-01-08,springer,0,1,3,0,6,0,Light Snow,7.38,9.85,55.00000000000001,11.0014,0,7,7,Afternoon
165,166,2011-01-08,springer,0,1,4,0,6,0,Light Snow,7.38,9.85,55.00000000000001,11.0014,0,1,1,Afternoon
166,167,2011-01-08,springer,0,1,5,0,6,0,Mist,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,Morning
167,168,2011-01-08,springer,0,1,6,0,6,0,Mist,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,Morning
168,169,2011-01-08,springer,0,1,7,0,6,0,Mist,6.5600000000000005,9.09,74.0,7.0015,1,8,9,Morning
169,170,2011-01-08,springer,0,1,8,0,6,0,Light Snow,6.5600000000000005,9.09,93.0,7.0015,0,15,15,Morning
170,171,2011-01-08,springer,0,1,9,0,6,0,Light Snow,6.5600000000000005,9.09,93.0,7.0015,0,20,20,Morning
171,172,2011-01-08,springer,0,1,10,0,6,0,Mist,7.38,9.85,80.0,11.0014,5,56,61,Morning
172,173,2011-01-08,springer,0,1,11,0,6,0,Mist,8.200000000000001,9.09,69.0,26.0027,2,60,62,Morning
173,174,2011-01-08,springer,0,1,12,0,6,0,Mist,8.200000000000001,9.09,59.0,23.9994,8,90,98,Morning
174,175,2011-01-08,springer,0,1,13,0,6,0,Clear,8.200000000000001,9.09,44.0,22.0028,7,95,102,Afternoon
175,176,2011-01-08,springer,0,1,14,0,6,0,Clear,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,Afternoon
176,177,2011-01-08,springer,0,1,15,0,6,0,Clear,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,Afternoon
177,178,2011-01-08,springer,0,1,16,0,6,0,Clear,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,Afternoon
178,179,2011-01-08,springer,0,1,17,0,6,0,Clear,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,Evening
179,180,2011-01-08,springer,0,1,18,0,6,0,Clear,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,Evening
180,181,2011-01-08,springer,0,1,19,0,6,0,Clear,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,Evening
181,182,2011-01-08,springer,0,1,20,0,6,0,Clear,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,Evening
182,183,2011-01-08,springer,0,1,21,0,6,0,Clear,4.92,5.305,39.0,23.9994,2,35,37,Evening
183,184,2011-01-08,springer,0,1,22,0,6,0,Clear,4.92,5.305,36.0,26.0027,1,33,34,Night
184,185,2011-01-08,springer,0,1,23,0,6,0,Clear,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,Night
185,186,2011-01-09,springer,0,1,0,0,0,0,Clear,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,Afternoon
186,187,2011-01-09,springer,0,1,1,0,0,0,Clear,4.1000000000000005,3.0300000000000002,42.0,31.0009,0,12,12,Afternoon
187,188,2011-01-09,springer,0,1,2,0,0,0,Clear,4.1000000000000005,3.0300000000000002,46.0,31.0009,0,11,11,Afternoon
188,189,2011-01-09,springer,0,1,3,0,0,0,Clear,4.1000000000000005,3.7900000000000005,46.0,27.999299999999998,0,4,4,Afternoon
189,190,2011-01-09,springer,0,1,4,0,0,0,Clear,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,Afternoon
190,191,2011-01-09,springer,0,1,5,0,0,0,Clear,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,Morning
191,192,2011-01-09,springer,0,1,6,0,0,0,Clear,4.1000000000000005,4.545,49.0,19.0012,0,1,1,Morning
192,193,2011-01-09,springer,0,1,7,0,0,0,Clear,3.2800000000000002,4.545,53.0,12.998000000000001,1,5,6,Morning
193,194,2011-01-09,springer,0,1,8,0,0,0,Clear,4.1000000000000005,4.545,49.0,19.0012,0,10,10,Morning
194,195,2011-01-09,springer,0,1,9,0,0,0,Clear,4.92,3.7900000000000005,46.0,35.0008,0,19,19,Morning
195,196,2011-01-09,springer,0,1,10,0,0,0,Clear,5.74,5.305,43.0,26.0027,0,49,49,Morning
196,197,2011-01-09,springer,0,1,11,0,0,0,Clear,6.5600000000000005,6.0600000000000005,40.0,35.0008,2,47,49,Morning
197,198,2011-01-09,springer,0,1,12,0,0,0,Clear,7.38,6.819999999999999,37.0,30.002599999999997,4,79,83,Morning
198,199,2011-01-09,springer,0,1,13,0,0,0,Clear,8.200000000000001,8.334999999999999,34.0,30.002599999999997,6,69,75,Afternoon
199,200,2011-01-09,springer,0,1,14,0,0,0,Clear,9.02,9.09,32.0,31.0009,8,64,72,Afternoon
200,201,2011-01-09,springer,0,1,15,0,0,0,Clear,9.02,9.85,35.0,23.9994,5,77,82,Afternoon
201,202,2011-01-09,springer,0,1,16,0,0,0,Clear,8.200000000000001,8.334999999999999,34.0,30.002599999999997,13,79,92,Afternoon
202,203,2011-01-09,springer,0,1,17,0,0,0,Clear,7.38,7.575,37.0,26.0027,3,59,62,Evening
203,204,2011-01-09,springer,0,1,18,0,0,0,Clear,6.5600000000000005,6.819999999999999,40.0,22.0028,4,44,48,Evening
204,205,2011-01-09,springer,0,1,19,0,0,0,Clear,6.5600000000000005,6.819999999999999,43.0,22.0028,1,40,41,Evening
205,206,2011-01-09,springer,0,1,20,0,0,0,Clear,5.74,6.0600000000000005,46.0,16.997899999999998,0,38,38,Evening
206,207,2011-01-09,springer,0,1,21,0,0,0,Clear,5.74,5.305,46.0,27.999299999999998,1,19,20,Evening
207,208,2011-01-09,springer,0,1,22,0,0,0,Clear,5.74,6.0600000000000005,46.0,19.999499999999998,5,10,15,Night
208,209,2011-01-09,springer,0,1,23,0,0,0,Clear,4.92,6.819999999999999,50.0,12.998000000000001,0,6,6,Night
209,210,2011-01-10,springer,0,1,0,0,1,1,Clear,4.92,6.0600000000000005,50.0,19.0012,2,3,5,Afternoon
210,211,2011-01-10,springer,0,1,1,0,1,1,Clear,4.92,6.0600000000000005,50.0,19.0012,1,0,1,Afternoon
211,212,2011-01-10,springer,0,1,2,0,1,1,Clear,4.92,6.0600000000000005,50.0,15.001299999999999,0,3,3,Afternoon
212,213,2011-01-10,springer,0,1,3,0,1,1,Clear,4.92,6.0600000000000005,50.0,15.001299999999999,0,1,1,Afternoon
213,214,2011-01-10,springer,0,1,4,0,1,1,Clear,4.1000000000000005,6.0600000000000005,54.0,8.9981,1,2,3,Afternoon
214,215,2011-01-10,springer,0,1,5,0,1,1,Clear,4.1000000000000005,5.305,54.0,16.997899999999998,0,3,3,Morning
215,216,2011-01-10,springer,0,1,6,0,1,1,Clear,4.92,6.0600000000000005,50.0,19.0012,0,31,31,Morning
216,217,2011-01-10,springer,0,1,7,0,1,1,Clear,4.92,6.0600000000000005,50.0,15.001299999999999,2,75,77,Morning
217,218,2011-01-10,springer,0,1,8,0,1,1,Mist,4.92,6.0600000000000005,50.0,19.0012,4,184,188,Morning
218,219,2011-01-10,springer,0,1,9,0,1,1,Mist,5.74,6.0600000000000005,50.0,16.997899999999998,2,92,94,Morning
219,220,2011-01-10,springer,0,1,10,0,1,1,Mist,5.74,6.0600000000000005,50.0,19.999499999999998,0,31,31,Morning
220,221,2011-01-10,springer,0,1,11,0,1,1,Mist,6.5600000000000005,6.819999999999999,47.0,19.0012,2,28,30,Morning
221,222,2011-01-10,springer,0,1,12,0,1,1,Mist,8.200000000000001,9.09,40.0,19.0012,5,47,52,Morning
